B1,B2,B3,B4,B5,B6,Sector
-66,-82,-73,-70,-77,-65,1
-68,-74,-73,-69,-76,-66,1
-67,-84,-73,-69,-80,-68,1
-64,-74,-72,-69,-87,-68,1
-67,-83,-73,-80,-87,-67,1
-68,-84,-73,-84,-90,-76,1
-68,-74,-74,-81,-83,-72,1
-56,-83,-67,-70,-78,-66,1
-57,-75,-67,-70,-80,-65,1
-59,-84,-66,-83,-78,-66,1
-69,-74,-66,-80,-82,-70,1
-60,-83,-67,-70,-85,-71,1
-60,-73,-67,-68,-88,-68,1
-60,-65,-66,-71,-73,-65,1
-60,-76,-66,-77,-73,-70,1
-60,-65,-80,-74,-92,-69,1
-76,-77,-78,-72,-85,-68,1
-65,-68,-77,-69,-74,-71,1
-68,-79,-76,-69,-78,-73,1
-68,-70,-76,-66,-82,-70,1
-64,-81,-74,-66,-83,-68,1
-57,-74,-74,-67,-74,-69,1
-58,-84,-75,-66,-76,-69,1
-57,-74,-78,-67,-76,-71,1
-58,-86,-68,-69,-82,-72,1
-56,-85,-69,-70,-80,-71,1
-58,-74,-68,-70,-87,-66,1
-72,-85,-68,-74,-82,-71,1
-58,-71,-68,-63,-71,-76,1
-58,-81,-68,-99,-73,-70,1
-57,-71,-68,-69,-71,-67,1
-73,-82,-77,-66,-76,-76,1
-63,-71,-78,-68,-70,-80,1
-64,-79,-81,-63,-69,-68,1
-60,-70,-76,-98,-72,-69,1
-63,-84,-74,-63,-69,-75,1
-60,-74,-77,-62,-70,-76,1
-58,-84,-78,-99,-73,-76,1
-56,-75,-79,-67,-73,-75,1
-56,-84,-80,-67,-73,-72,1
-59,-84,-72,-69,-80,-73,1
-57,-97,-76,-74,-81,-70,1
-62,-88,-68,-66,-82,-70,1
-60,-82,-69,-71,-95,-70,1
-65,-86,-69,-78,-80,-72,1
-57,-87,-69,-70,-77,-72,1
-59,-78,-69,-72,-76,-67,1
-59,-79,-70,-66,-78,-70,1
-58,-67,-84,-66,-79,-70,1
-58,-78,-76,-75,-77,-72,1
-58,-68,-77,-74,-81,-71,1
-78,-78,-78,-67,-79,-71,1
-77,-69,-78,-68,-80,-71,1
-69,-80,-79,-68,-81,-72,1
-73,-70,-79,-77,-80,-72,1
-74,-77,-70,-66,-81,-72,1
-75,-77,-70,-66,-87,-70,1
-70,-87,-70,-79,-73,-71,1
-59,-77,-70,-71,-84,-71,1
-58,-87,-70,-79,-86,-68,1
-57,-76,-68,-78,-90,-74,1
-64,-80,-68,-68,-77,-68,1
-56,-69,-78,-68,-72,-77,1
-62,-69,-77,-70,-72,-75,1
-72,-82,-76,-65,-70,-66,1
-71,-70,-76,-63,-68,-80,1
-56,-81,-77,-65,-70,-78,1
