B1,B2,B3,B4,B5,B6,Sector
-66,-73,-77,-57,-71,-76,1
-70,-73,-76,-94,-70,-78,1
-69,-83,-76,-91,-70,-80,1
-68,-73,-76,-54,-74,-77,1
-65,-83,-77,-91,-72,-87,1
-67,-73,-80,-91,-75,-76,1
-70,-83,-81,-91,-72,-78,1
-66,-77,-81,-91,-73,-75,1
-66,-84,-78,-60,-72,-80,1
-68,-72,-89,-96,-77,-82,1
-69,-84,-85,-96,-78,-84,1
-68,-79,-85,-58,-76,-72,1
-68,-84,-83,-97,-72,-71,1
-63,-72,-83,-100,-70,-71,1
-63,-71,-79,-60,-70,-83,1
-63,-83,-80,-97,-76,-84,1
-67,-72,-77,-98,-74,-74,1
-67,-84,-80,-88,-76,-73,1
-67,-74,-84,-51,-71,-70,1
-67,-83,-83,-89,-71,-70,1
-62,-80,-82,-89,-71,-69,1
-62,-88,-82,-51,-69,-75,1
-62,-80,-74,-88,-70,-75,1
-64,-88,-73,-89,-71,-76,1
-63,-78,-73,-51,-72,-76,1
-63,-88,-72,-92,-71,-68,1
-63,-79,-72,-91,-70,-69,1
-67,-79,-72,-54,-70,-91,1
-68,-80,-73,-90,-69,-90,1
-67,-71,-81,-92,-78,-91,1
-67,-80,-86,-54,-79,-76,1
-63,-70,-79,-90,-78,-76,1
-63,-80,-79,-53,-71,-76,1
-63,-69,-80,-87,-71,-79,1
-63,-79,-78,-88,-71,-75,1
-67,-69,-76,-87,-76,-74,1
-67,-81,-74,-87,-89,-78,1
-67,-91,-73,-49,-70,-77,1
-61,-81,-72,-86,-70,-80,1
-62,-78,-73,-87,-71,-72,1
-62,-80,-73,-49,-71,-72,1
-64,-84,-73,-86,-71,-79,1
-64,-73,-73,-89,-71,-80,1
-64,-84,-81,-52,-81,-79,1
-63,-74,-80,-89,-82,-70,1
-62,-83,-80,-89,-71,-78,1
-62,-72,-81,-52,-71,-80,1
-62,-83,-81,-88,-71,-81,1
-62,-73,-82,-51,-88,-77,1
-64,-78,-82,-88,-84,-80,1
-64,-69,-78,-100,-72,-78,1
-64,-78,-77,-62,-71,-70,1
-66,-69,-77,-100,-72,-70,1
-65,-78,-77,-98,-72,-70,1
-66,-68,-78,-62,-72,-71,1
-66,-78,-80,-100,-72,-74,1
-62,-68,-80,-62,-73,-74,1
-62,-79,-81,-86,-71,-74,1
-62,-74,-80,-48,-72,-72,1
-66,-84,-80,-86,-72,-72,1
-66,-85,-80,-49,-69,-72,1
-66,-75,-79,-86,-78,-77,1
-66,-76,-79,-49,-71,-82,1
-62,-87,-79,-62,-72,-79,1
-62,-68,-78,-100,-72,-77,1
-62,-78,-77,-62,-78,-77,1
-62,-68,-77,-99,-81,-82,1
-63,-78,-76,-63,-75,-82,1
-63,-68,-76,-86,-76,-76,1
-63,-78,-75,-49,-77,-76,1
-66,-82,-75,-87,-77,-77,1
-66,-93,-73,-86,-80,-77,1
-66,-82,-73,-49,-81,-80,1
-67,-92,-73,-86,-76,-82,1
-66,-82,-73,-86,-77,-82,1
-64,-92,-73,-50,-73,-77,1
-63,-91,-73,-87,-73,-77,1
-63,-76,-73,-88,-72,-81,1
-68,-85,-80,-50,-82,-82,1
-67,-75,-80,-87,-82,-82,1
-68,-85,-80,-87,-72,-80,1
-63,-86,-80,-50,-72,-81,1
-64,-86,-80,-87,-72,-79,1
-70,-88,-80,-87,-81,-80,1
-72,-80,-80,-62,-79,-81,1
-71,-88,-77,-62,-88,-74,1
-69,-76,-75,-98,-74,-74,1
-64,-86,-75,-62,-74,-74,1
-63,-77,-77,-102,-74,-80,1
-64,-86,-77,-53,-73,-85,1
-64,-75,-77,-90,-72,-80,1
-64,-86,-79,-53,-72,-74,1
-67,-76,-80,-90,-73,-74,1
-68,-87,-79,-90,-74,-78,1
-70,-86,-80,-52,-76,-80,1
-69,-76,-80,-89,-72,-78,1
-65,-88,-80,-89,-79,-77,1
-64,-78,-79,-54,-78,-80,1
-64,-80,-79,-98,-71,-72,1
-67,-70,-79,-98,-72,-80,1
-67,-71,-79,-65,-75,-80,2
-68,-87,-73,-99,-78,-73,2
-64,-69,-72,-61,-70,-84,2
-65,-81,-73,-100,-70,-83,2
-65,-74,-74,-75,-77,-72,2
-69,-84,-74,-77,-76,-71,2
-69,-70,-68,-76,-77,-72,2
-68,-80,-68,-98,-71,-78,2
-69,-80,-68,-62,-72,-78,2
-68,-70,-68,-100,-70,-76,2
-69,-70,-68,-61,-68,-76,2
-69,-81,-68,-70,-69,-83,2
-67,-90,-68,-68,-70,-84,2
-67,-98,-74,-71,-69,-84,2
-66,-88,-75,-72,-69,-82,2
-66,-94,-75,-73,-69,-74,2
-66,-86,-74,-72,-72,-68,2
-66,-92,-74,-73,-69,-69,2
-66,-82,-74,-82,-67,-68,2
-67,-73,-74,-72,-71,-67,2
-68,-83,-76,-73,-72,-70,2
-65,-72,-76,-69,-73,-70,2
-62,-85,-74,-98,-76,-70,2
-63,-76,-75,-63,-68,-76,2
-61,-81,-75,-62,-69,-69,2
-74,-70,-75,-64,-69,-70,2
-68,-82,-69,-60,-76,-71,2
-71,-70,-69,-99,-77,-82,2
-72,-80,-68,-63,-78,-80,2
-72,-71,-68,-62,-70,-76,2
-71,-79,-68,-61,-70,-73,2
-69,-69,-68,-61,-66,-76,2
-69,-88,-68,-100,-68,-72,2
-70,-77,-69,-100,-68,-68,2
-70,-89,-75,-62,-78,-70,2
-70,-78,-76,-100,-69,-69,2
-68,-90,-76,-60,-67,-78,2
-68,-78,-76,-98,-68,-75,2
-67,-88,-75,-100,-77,-75,2
-65,-77,-76,-61,-82,-73,2
-72,-70,-74,-67,-80,-73,2
-76,-82,-71,-69,-69,-87,2
-65,-69,-74,-71,-65,-78,2
-80,-81,-75,-100,-66,-75,2
-73,-76,-76,-64,-66,-73,2
-73,-84,-75,-63,-70,-74,2
-72,-72,-76,-63,-69,-75,2
-72,-81,-76,-97,-76,-79,2
-66,-89,-76,-74,-90,-83,2
-66,-78,-79,-71,-78,-74,2
-66,-90,-74,-72,-82,-74,2
-66,-80,-72,-61,-70,-73,2
-67,-89,-71,-98,-70,-74,2
-68,-78,-72,-100,-69,-69,2
-70,-78,-72,-61,-76,-69,2
-67,-88,-75,-97,-83,-82,2
-68,-78,-75,-61,-71,-77,2
-69,-87,-77,-98,-72,-80,2
-69,-76,-76,-69,-71,-72,2
-72,-86,-76,-63,-67,-73,2
-70,-87,-75,-78,-66,-72,2
-70,-78,-87,-77,-66,-89,2
-72,-78,-76,-78,-77,-82,2
-69,-87,-73,-65,-78,-72,2
-68,-88,-73,-67,-66,-72,2
-68,-77,-73,-65,-66,-71,2
-74,-88,-73,-62,-66,-69,2
-73,-78,-74,-62,-77,-69,2
-72,-88,-74,-62,-77,-68,2
-73,-78,-74,-63,-75,-72,2
-71,-87,-76,-62,-69,-72,2
-72,-76,-75,-72,-69,-72,2
-67,-86,-75,-80,-69,-69,2
-66,-76,-76,-100,-66,-69,2
-67,-89,-76,-61,-66,-68,2
-67,-78,-77,-97,-67,-80,2
-69,-68,-77,-62,-69,-78,2
-69,-78,-70,-78,-71,-77,2
-70,-68,-72,-72,-69,-79,2
-69,-79,-74,-73,-66,-74,2
-67,-69,-74,-68,-66,-73,2
-68,-80,-73,-72,-66,-74,2
-68,-75,-70,-73,-79,-75,2
-67,-78,-69,-62,-73,-72,2
-76,-89,-70,-62,-73,-75,2
-79,-78,-74,-101,-70,-73,2
-78,-88,-74,-62,-71,-74,2
-77,-77,-74,-73,-72,-67,2
-69,-88,-74,-74,-70,-72,2
-70,-76,-75,-61,-70,-70,2
-72,-78,-75,-101,-70,-70,2
-72,-69,-68,-98,-76,-69,2
-73,-80,-69,-62,-74,-70,2
-70,-69,-68,-99,-82,-70,2
-70,-79,-68,-62,-74,-70,2
-68,-69,-68,-98,-78,-72,2
-68,-78,-68,-69,-82,-82,2
-68,-68,-68,-68,-70,-71,2
-68,-72,-74,-66,-70,-73,2
-69,-82,-73,-75,-74,-71,2
-69,-73,-85,-71,-72,-70,3
-68,-69,-85,-64,-76,-68,3
-68,-80,-84,-102,-77,-66,3
-63,-69,-87,-65,-75,-68,3
-62,-81,-70,-64,-76,-68,3
-64,-69,-70,-72,-71,-69,3
-65,-69,-70,-76,-71,-69,3
-67,-79,-70,-71,-70,-67,3
-67,-70,-69,-67,-82,-64,3
-67,-80,-69,-70,-82,-66,3
-62,-70,-69,-69,-82,-68,3
-62,-82,-69,-71,-77,-66,3
-62,-73,-78,-67,-83,-70,3
-62,-82,-80,-71,-82,-65,3
-65,-81,-80,-70,-85,-65,3
-64,-69,-76,-70,-82,-65,3
-66,-80,-82,-70,-80,-67,3
-66,-69,-78,-72,-74,-77,3
-63,-86,-80,-77,-81,-78,3
-63,-76,-78,-73,-71,-72,3
-62,-84,-77,-71,-74,-70,3
-63,-74,-77,-70,-88,-71,3
-63,-85,-79,-70,-92,-65,3
-67,-77,-77,-73,-78,-65,3
-67,-86,-77,-71,-69,-65,3
-68,-80,-80,-74,-69,-71,3
-67,-71,-77,-78,-76,-72,3
-68,-80,-70,-70,-89,-69,3
-68,-69,-71,-73,-86,-69,3
-61,-79,-70,-65,-83,-68,3
-62,-71,-70,-66,-80,-65,3
-62,-80,-69,-68,-68,-65,3
-62,-72,-70,-66,-68,-67,3
-62,-93,-70,-67,-68,-68,3
-70,-98,-71,-74,-69,-68,3
-67,-86,-82,-73,-80,-67,3
-70,-94,-80,-69,-80,-68,3
-63,-86,-82,-68,-80,-63,3
-63,-94,-82,-67,-81,-62,3
-64,-83,-81,-68,-81,-104,3
-64,-82,-82,-68,-71,-62,3
-64,-71,-82,-68,-72,-66,3
-63,-81,-69,-77,-71,-67,3
-63,-70,-69,-74,-75,-65,3
-68,-89,-69,-73,-78,-69,3
-68,-88,-72,-68,-78,-69,3
-68,-74,-74,-68,-74,-69,3
-68,-83,-72,-69,-79,-65,3
-64,-69,-72,-75,-77,-65,3
-65,-83,-73,-78,-77,-64,3
-65,-81,-74,-79,-83,-68,3
-64,-71,-74,-72,-69,-70,3
-64,-81,-76,-63,-67,-69,3
-64,-71,-80,-69,-65,-68,3
-63,-82,-84,-65,-74,-67,3
-67,-72,-93,-69,-74,-100,3
