B1,B2,B3,B4,B5,B6,Sector
-60,-88,-78,-76,-91,-76,1
-60,-75,-76,-74,-88,-74,1
-60,-82,-80,-73,-83,-76,1
-60,-75,-80,-76,-80,-78,1
-60,-86,-82,-78,-98,-80,1
-58,-79,-84,-77,-80,-79,1
-57,-84,-87,-76,-79,-76,1
-58,-76,-75,-73,-85,-76,1
-59,-83,-71,-75,-76,-77,1
-59,-80,-74,-80,-76,-74,1
-59,-73,-72,-72,-80,-76,1
-59,-81,-74,-73,-79,-78,1
-60,-77,-69,-75,-83,-78,1
-61,-77,-71,-80,-77,-74,1
-58,-84,-69,-75,-85,-78,1
-60,-77,-77,-76,-76,-80,1
-56,-84,-82,-76,-77,-81,1
-60,-77,-77,-72,-77,-79,1
-61,-84,-82,-75,-90,-73,1
-63,-78,-77,-75,-92,-80,1
-61,-77,-77,-74,-95,-73,1
-64,-82,-70,-77,-86,-80,1
-64,-76,-70,-82,-83,-76,1
-62,-87,-68,-82,-84,-80,1
-59,-79,-71,-79,-81,-79,1
-61,-84,-68,-80,-83,-81,1
-60,-75,-68,-82,-78,-76,1
-60,-83,-74,-69,-78,-76,1
-61,-76,-78,-68,-78,-76,1
-59,-72,-73,-71,-78,-86,1
-59,-80,-76,-76,-80,-85,1
-59,-73,-75,-77,-81,-86,1
-60,-78,-78,-82,-81,-78,1
-59,-75,-68,-73,-80,-76,1
-60,-83,-71,-73,-77,-76,1
-60,-75,-67,-74,-89,-76,1
-60,-80,-70,-72,-87,-79,1
-60,-73,-68,-72,-90,-81,1
-63,-80,-71,-74,-87,-78,1
-60,-73,-73,-74,-80,-76,1
-60,-80,-76,-73,-76,-74,1
-67,-82,-73,-83,-83,-74,1
-64,-74,-77,-83,-82,-80,1
-60,-74,-70,-77,-81,-76,1
-60,-86,-70,-80,-78,-75,1
-60,-79,-76,-80,-83,-75,1
-60,-84,-80,-80,-90,-72,1
-61,-88,-70,-73,-92,-72,1
-60,-79,-73,-74,-78,-76,1
-60,-84,-70,-76,-78,-80,1
-60,-75,-73,-75,-78,-73,1
-59,-76,-69,-76,-93,-76,1
-61,-83,-71,-76,-93,-79,1
-61,-75,-70,-73,-78,-78,1
-60,-83,-68,-71,-80,-74,1
-57,-75,-72,-74,-80,-74,1
-58,-82,-69,-74,-80,-75,1
-60,-73,-72,-82,-78,-75,1
-59,-82,-68,-82,-78,-74,1
-60,-75,-71,-80,-77,-76,1
-60,-82,-68,-74,-78,-75,1
-58,-80,-71,-74,-77,-74,1
-60,-82,-68,-79,-77,-75,1
-60,-82,-71,-80,-77,-80,1
-60,-88,-68,-74,-77,-80,1
-61,-76,-82,-74,-84,-78,1
-60,-82,-79,-75,-85,-76,1
-60,-76,-82,-77,-77,-83,1
-64,-83,-79,-78,-77,-76,1
-65,-83,-82,-77,-77,-76,1
-60,-76,-79,-74,-87,-80,1
-61,-83,-80,-74,-86,-76,1
-61,-76,-76,-85,-86,-76,1
-60,-79,-71,-71,-78,-76,1
-60,-70,-75,-72,-77,-74,1
-59,-79,-78,-73,-76,-74,1
-58,-74,-79,-92,-76,-76,1
-60,-80,-85,-91,-77,-75,1
-61,-73,-73,-95,-80,-83,1
-61,-80,-78,-75,-79,-96,1
-59,-70,-74,-74,-85,-78,1
-60,-72,-83,-85,-76,-74,1
-60,-82,-81,-96,-76,-78,1
-60,-77,-83,-85,-80,-80,1
-60,-85,-80,-72,-79,-81,1
-60,-78,-84,-74,-83,-79,1
-61,-82,-70,-76,-77,-73,1
-62,-75,-70,-76,-85,-80,1
-61,-81,-72,-74,-76,-73,1
-62,-74,-68,-73,-83,-78,1
-59,-82,-71,-76,-74,-72,1
-59,-74,-68,-78,-85,-74,1
-59,-82,-71,-77,-76,-74,1
-59,-74,-74,-76,-70,-77,1
-61,-82,-73,-73,-79,-75,1
