B1,B2,B3,B4,B5,B6,Sector
-70,-83,-76,-97,-91,-82,1
-70,-100,-74,-63,-77,-74,1
-69,-85,-87,-98,-76,-74,1
-68,-84,-83,-92,-81,-73,1
-72,-75,-88,-92,-82,-86,1
-72,-83,-83,-57,-84,-91,1
-72,-75,-84,-91,-84,-85,1
-72,-77,-79,-90,-82,-92,1
-72,-85,-81,-56,-80,-82,1
-74,-78,-78,-90,-78,-81,1
-74,-87,-81,-62,-80,-79,1
-67,-74,-78,-97,-83,-74,1
-68,-76,-84,-62,-85,-84,1
-67,-84,-80,-97,-84,-85,1
-69,-74,-86,-61,-77,-74,1
-68,-80,-86,-96,-85,-75,1
-70,-72,-83,-96,-82,-74,1
-68,-71,-79,-57,-84,-88,1
-68,-78,-84,-91,-80,-93,1
-68,-71,-80,-93,-76,-87,1
-66,-72,-76,-57,-78,-80,1
-64,-79,-79,-93,-82,-80,1
-66,-71,-75,-91,-82,-94,1
-68,-75,-79,-57,-80,-96,1
-70,-71,-76,-91,-79,-80,1
-68,-81,-80,-91,-77,-80,1
-70,-74,-77,-59,-78,-80,1
-76,-82,-79,-92,-80,-78,1
-83,-76,-80,-93,-77,-81,1
-80,-81,-76,-60,-74,-81,1
-82,-75,-80,-93,-91,-97,1
-72,-81,-80,-58,-85,-84,1
-72,-75,-84,-92,-89,-85,1
-72,-72,-79,-93,-82,-90,1
-81,-77,-76,-93,-83,-82,1
-81,-72,-76,-58,-78,-95,1
-80,-80,-81,-92,-91,-84,1
-79,-73,-78,-92,-88,-78,1
-68,-81,-78,-57,-79,-84,1
-69,-75,-73,-90,-75,-82,1
-69,-97,-77,-91,-79,-74,1
-72,-79,-73,-91,-84,-77,1
-72,-88,-78,-57,-84,-77,1
-72,-87,-75,-90,-80,-77,1
-68,-85,-76,-94,-90,-86,1
-80,-90,-72,-59,-85,-82,1
-77,-96,-76,-95,-80,-87,1
-73,-87,-73,-62,-80,-74,1
-76,-92,-76,-96,-84,-80,1
-75,-84,-77,-96,-77,-86,1
-80,-93,-81,-62,-78,-83,1
-74,-92,-77,-98,-76,-74,1
-77,-94,-80,-96,-77,-76,1
-73,-70,-78,-62,-78,-84,1
-75,-77,-81,-90,-78,-88,1
-71,-69,-78,-92,-77,-89,1
-82,-76,-81,-56,-74,-78,1
-69,-69,-76,-90,-80,-78,1
-67,-77,-80,-88,-82,-78,1
-66,-69,-77,-55,-88,-81,1
-81,-76,-79,-89,-80,-82,1
-86,-80,-77,-90,-78,-78,1
-66,-89,-76,-97,-82,-78,1
-66,-78,-80,-63,-88,-78,1
-66,-85,-80,-99,-84,-83,1
-70,-80,-81,-96,-86,-81,1
-67,-86,-81,-96,-85,-81,1
-74,-78,-86,-62,-81,-82,1
-73,-85,-82,-96,-81,-81,1
-74,-70,-86,-56,-74,-77,1
-72,-76,-86,-91,-80,-77,1
-69,-70,-86,-90,-80,-77,1
-70,-77,-78,-56,-80,-80,1
-70,-70,-75,-91,-79,-80,1
-82,-77,-79,-91,-79,-79,1
-76,-70,-76,-56,-82,-74,1
-68,-76,-79,-91,-83,-75,1
-66,-76,-77,-58,-82,-82,1
-66,-83,-79,-93,-85,-78,1
-66,-76,-76,-58,-81,-76,1
-72,-83,-76,-92,-78,-79,1
-73,-76,-73,-58,-79,-87,1
-73,-82,-76,-92,-80,-82,1
-74,-76,-73,-92,-81,-80,1
-67,-75,-76,-97,-80,-81,1
-66,-84,-73,-62,-75,-74,1
-66,-90,-76,-96,-76,-73,1
-66,-88,-73,-97,-76,-80,1
-66,-82,-86,-63,-78,-84,1
-70,-74,-84,-74,-76,-82,1
-70,-82,-86,-96,-75,-87,1
-70,-80,-84,-61,-81,-84,1
-70,-88,-86,-96,-80,-82,1
-75,-90,-78,-98,-80,-81,1
-73,-88,-79,-70,-84,-79,1
-73,-76,-80,-64,-77,-74,1
-76,-76,-75,-73,-78,-84,1
-69,-84,-76,-63,-76,-85,1
-69,-83,-75,-96,-77,-74,1
-69,-88,-82,-96,-80,-84,1
-67,-74,-76,-68,-72,-85,2
-67,-82,-80,-67,-72,-85,2
-66,-75,-76,-64,-73,-82,2
-67,-83,-77,-99,-70,-84,2
-66,-75,-75,-65,-78,-81,2
-69,-82,-78,-101,-76,-78,2
-63,-74,-76,-61,-76,-80,2
-69,-79,-77,-96,-69,-78,2
-69,-85,-77,-96,-70,-78,2
-69,-78,-80,-70,-70,-79,2
-69,-84,-77,-74,-69,-76,2
-66,-80,-76,-72,-75,-76,2
-67,-85,-73,-72,-73,-77,2
-66,-77,-77,-69,-77,-82,2
-67,-86,-76,-71,-70,-76,2
-65,-77,-80,-98,-67,-80,2
-66,-84,-74,-63,-67,-82,2
-67,-75,-77,-97,-77,-78,2
-66,-83,-74,-64,-77,-78,2
-63,-76,-78,-99,-74,-82,2
-63,-84,-75,-99,-73,-84,2
-67,-77,-78,-70,-73,-83,2
-65,-84,-68,-100,-76,-85,2
-65,-74,-72,-65,-76,-76,2
-65,-80,-69,-72,-77,-78,2
-65,-74,-68,-73,-75,-79,2
-67,-75,-71,-61,-75,-76,2
-68,-80,-68,-95,-77,-77,2
-66,-74,-68,-62,-68,-74,2
-64,-80,-77,-97,-68,-74,2
-65,-77,-74,-96,-67,-76,2
-63,-83,-73,-67,-75,-80,2
-66,-78,-77,-66,-77,-75,2
-68,-81,-74,-66,-74,-74,2
-71,-88,-78,-70,-73,-73,2
-71,-80,-79,-67,-73,-76,2
-67,-84,-73,-60,-84,-77,2
-65,-87,-69,-71,-81,-78,2
-68,-82,-73,-85,-77,-83,2
-68,-71,-69,-74,-73,-79,2
-66,-76,-73,-60,-71,-78,2
-65,-69,-70,-93,-67,-75,2
-65,-77,-73,-60,-70,-75,2
-70,-70,-79,-93,-70,-74,2
-69,-88,-75,-94,-71,-74,2
-68,-78,-77,-58,-73,-76,2
-67,-86,-74,-93,-71,-76,2
-64,-80,-74,-97,-73,-74,2
-64,-86,-77,-62,-75,-74,2
-64,-80,-74,-99,-74,-74,2
-63,-86,-80,-62,-74,-74,2
-68,-79,-77,-77,-73,-74,2
-67,-82,-80,-69,-69,-76,2
-68,-75,-78,-67,-73,-76,2
-69,-81,-82,-68,-73,-77,2
-69,-81,-78,-67,-69,-76,2
-62,-74,-78,-71,-71,-76,2
-63,-82,-77,-72,-72,-77,2
-68,-74,-70,-70,-72,-76,2
-66,-76,-73,-96,-76,-74,2
-63,-76,-72,-64,-70,-73,2
-69,-70,-70,-100,-70,-72,2
-68,-78,-72,-60,-69,-77,2
-67,-70,-76,-96,-73,-78,2
-64,-80,-80,-98,-73,-78,2
-63,-77,-77,-68,-72,-84,2
-63,-75,-82,-65,-70,-81,2
-66,-83,-79,-64,-71,-85,2
-67,-78,-83,-97,-71,-84,2
-67,-84,-78,-66,-69,-77,2
-67,-75,-78,-67,-72,-89,2
-67,-82,-69,-66,-71,-89,2
-64,-78,-72,-103,-73,-94,2
-64,-84,-69,-66,-78,-84,2
-66,-73,-72,-67,-76,-84,2
-66,-83,-69,-69,-68,-73,2
-66,-90,-73,-69,-68,-74,2
-66,-78,-76,-68,-80,-74,2
-68,-85,-77,-63,-74,-75,2
-73,-88,-73,-97,-75,-71,2
-72,-80,-76,-97,-75,-70,2
-69,-87,-76,-64,-75,-72,2
-63,-79,-74,-65,-76,-74,2
-64,-82,-77,-98,-76,-81,2
-63,-80,-80,-64,-74,-76,2
-67,-73,-83,-64,-75,-71,2
-66,-83,-75,-64,-75,-72,2
-67,-75,-80,-100,-77,-70,2
-65,-82,-80,-66,-74,-74,2
-63,-75,-77,-66,-73,-75,2
-63,-82,-80,-64,-73,-76,2
-64,-74,-77,-99,-84,-77,2
-67,-83,-86,-97,-81,-81,2
-68,-75,-90,-66,-77,-78,2
-67,-82,-85,-67,-73,-80,2
-67,-75,-86,-64,-71,-78,2
-66,-76,-86,-97,-67,-78,2
-66,-82,-84,-63,-70,-79,2
-65,-75,-82,-61,-70,-76,2
-68,-83,-80,-70,-75,-77,2
-75,-83,-73,-68,-74,-72,3
-68,-67,-76,-68,-83,-76,3
-68,-77,-78,-77,-84,-81,3
-68,-70,-77,-80,-72,-69,3
-67,-78,-78,-68,-71,-68,3
-67,-71,-76,-68,-72,-89,3
-68,-79,-78,-77,-82,-92,3
-68,-80,-74,-77,-81,-99,3
-68,-81,-76,-79,-71,-73,3
-69,-88,-74,-74,-70,-70,3
-68,-81,-77,-74,-72,-67,3
-68,-89,-74,-74,-70,-65,3
-72,-80,-77,-73,-80,-102,3
-72,-87,-75,-76,-74,-66,3
-66,-78,-77,-84,-67,-67,3
-67,-85,-79,-93,-81,-67,3
-68,-72,-75,-76,-84,-65,3
-69,-80,-76,-70,-71,-64,3
-83,-72,-79,-79,-79,-66,3
-86,-73,-75,-82,-77,-85,3
-73,-80,-80,-81,-74,-83,3
-67,-73,-77,-79,-68,-85,3
-76,-80,-81,-72,-68,-75,3
-68,-87,-77,-71,-68,-73,3
-74,-95,-80,-69,-80,-76,3
-75,-85,-78,-76,-80,-80,3
-74,-92,-82,-74,-77,-90,3
-68,-82,-78,-80,-70,-80,3
-69,-89,-75,-73,-69,-74,3
-72,-85,-71,-77,-74,-76,3
-70,-89,-72,-71,-80,-78,3
-69,-93,-69,-74,-82,-74,3
-71,-92,-71,-71,-79,-64,3
-70,-94,-72,-70,-72,-65,3
-71,-88,-69,-70,-72,-98,3
-69,-80,-73,-87,-80,-64,3
-68,-85,-71,-85,-69,-97,3
-64,-77,-72,-69,-69,-84,3
-72,-83,-74,-72,-75,-86,3
-70,-82,-71,-70,-76,-65,3
-71,-76,-74,-82,-69,-100,3
-71,-82,-70,-70,-75,-100,3
-70,-75,-73,-74,-69,-80,3
-69,-82,-70,-69,-74,-76,3
-70,-74,-73,-73,-78,-80,3
-69,-81,-69,-80,-77,-72,3
-70,-86,-71,-84,-69,-74,3
-70,-94,-71,-71,-69,-71,3
-69,-82,-74,-72,-69,-74,3
-70,-86,-72,-69,-69,-76,3
-70,-85,-72,-81,-70,-70,3
-68,-86,-69,-89,-69,-66,3
-80,-93,-82,-85,-69,-68,3
-86,-85,-78,-66,-70,-68,3
-82,-76,-81,-67,-70,-78,3
-84,-80,-77,-68,-70,-76,3
-65,-76,-80,-75,-83,-81,3
-66,-81,-75,-76,-81,-71,3
-67,-86,-77,-69,-82,-98,3
-69,-89,-78,-67,-69,-68,3
-67,-80,-80,-101,-69,-100,3
-67,-87,-79,-71,-69,-67,3
-71,-82,-80,-72,-82,-80,3
-70,-84,-84,-70,-81,-80,3
-66,-82,-77,-70,-77,-82,3
-66,-73,-91,-68,-82,-84,3
-66,-80,-82,-67,-79,-86,3
-68,-73,-74,-71,-77,-82,3
-72,-80,-77,-71,-76,-66,3
-73,-73,-78,-88,-73,-66,3
-71,-80,-79,-92,-74,-82,3
-68,-73,-75,-96,-68,-85,3
-68,-80,-79,-68,-66,-87,3
-77,-79,-80,-69,-73,-67,3
-76,-84,-73,-70,-69,-66,3
-76,-81,-77,-68,-76,-69,3
-76,-75,-75,-76,-75,-81,3
